country,noc_code,team_name,year,n_athletes,gold,silver,bronze,total_medals,snowfall_total,snowfall_mean_gridcell,gdp,gdp_per_capita,population,won_any_medal,log_total_medals,log_gdp,log_population,medals_per_million
TUR,TUR,Turkey,1994,1,0,0,0,0,4.707212849350054,5.8970155195237846,130650447499.071,2176.2801813809,60033836,0,0.0,11.116110901595256,7.778396094487083,0.0
TWN,TPE,Chinese Taipei,1994,2,0,0,0,0,0.0010062543767429,0.0290589222270839,,,,0,0.0,,,
UKR,UKR,Ukraine,1994,37,1,0,1,2,1.7803954873190362,3.118130863677672,52549580264.8064,1009.09405517578,52075998,1,1.0986122886681098,10.720569251488781,7.716637601648872,0.03840540895634876
USA,USA,United States,1994,148,6,8,5,19,50.2525091464292,5.288444541728483,7287236000000.0,27694.853416234,263126000,1,2.995732273553991,12.862562834549916,8.420163763701954,0.07220875170070613
UZB,UZB,Uzbekistan,1994,7,1,0,0,1,1.122151673301678,2.4395998413227864,12899074922.38,574.229079896619,22463291,1,0.6931471805599453,10.110558565298346,7.351473383200472,0.04451707454620073
VIR,ISV,United States Virgin Islands,1994,8,0,0,0,0,,,,,107318,0,0.0,,5.030672570475327,0.0
ZAF,RSA,South Africa,1994,2,0,0,0,0,0.0987681688159528,0.0809733781886306,153512712381.836,3488.59711541763,44004139,0,0.0,11.186144345211794,7.643493527857097,0.0
AND,AND,Andorra,1998,3,0,0,0,0,,,1211953994.05714,18536.5084282698,65382,0,0.0,9.083486134263982,4.815458201280735,0.0
ARG,ARG,Argentina,1998,2,0,0,0,0,3.1591145208221443,1.1347289780037992,298948250000.0,8218.99212764682,36372860,0,0.0,11.47559601546626,7.560777450996545,0.0
ARM,ARM,Armenia,1998,7,0,0,0,0,0.1760958193047235,6.217718987635501,1893726437.26462,590.239947333459,3208401,0,0.0,9.277317242160773,6.506288643029721,0.0
